;X;Y;Z
2477;3510144.7494013077;5389212.70732365;399
2471;3480242.090262033;5352866.927132222;510
2431;3533385.6110969004;5386893.083014749;347
40670;3499553.6272618566;5354927.490870977;539
2446;3461086.711868458;5336186.698964823;717
2489;3506403.5247330284;5364753.9445393905;495
406;3473996.0875087916;5330229.583037506;712
44603;3533682.4015471386;5371225.33069689;730
420;3492167.022833447;5369207.193859076;418
422;3523324.100832312;5376268.132258334;404
427;3530582.692885024;5394176.790505449;323
2465;3498957.405720735;5383746.7086774735;487
46348;3520610.120647994;5382553.8711997615;352
76121;3564574.0553296707;5391226.648687424;699
463;3561703.087007837;5397219.447709668;543
409;3475315.330606736;5343577.8378710495;548
4408;3491544.853240627;5346988.549249187;648
4427;3544487.662480794;5396761.581985021;303
1438;3543761.3751686853;5379295.535063822;786
1439;3554899.843485763;5383658.957046619;783
76179;3557196.1112883855;5391067.84180752;396
417;3490031.3162388816;5380213.744508499;435
411;3466625.4568480374;5360209.009549141;591
1452;3536065.8604211584;5377498.232848125;562
1458;3539592.5307110497;5385984.294524178;403
24701;3517108.9028762556;5369444.8447158905;453
